signature,name,first_occurrence_page,first_occurrence_evidence,regex_patterns,replacement_rule,occurrences
document_title,Document title,1,Document title Natarbora Refinery And Petrochemical Complex Preliminary Environmental and Socioeconomic Impact Assessment Draft Report,"(document\ title)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (document\ title)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Document title' only; remove numeric values; optionally append <document_title>,1
client_organisation,Client organisation,1,Client organisation KBR,"(client\ organisation)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (client\ organisation)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Client organisation' only; remove numeric values; optionally append <client_organisation>,1
client_contact,Client contact,1,Client contact Jin Xiang Lim <JinXiang.Lim@kbr.com>,"(client\ contact)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (client\ contact)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Client contact' only; remove numeric values; optionally append <client_contact>,1
project_manager,Project Manager,1,Project Manager Dr Karlheinz Spitz (karlheinz.spitz@greencorpllc.com),"(project\ manager)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (project\ manager)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Project Manager' only; remove numeric values; optionally append <project_manager>,1
revision_history_submission_date,Revision history submission date,1,Revision 00 submitted 17/01/2025,"(revision\ history\ submission\ date)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (revision\ history\ submission\ date)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Revision history submission date' only; remove numeric values; optionally append <revision_history_submission_date>,2
document_approval_date,Document approval date,1,Approved by Dr Karlheinz Spitz on 8/02/2025,"(document\ approval\ date)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (document\ approval\ date)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Document approval date' only; remove numeric values; optionally append <document_approval_date>,1
document_distribution_date,Document distribution date,1,Distributed to Jin Xiang Lim on 10/02/2025,"(document\ distribution\ date)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (document\ distribution\ date)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Document distribution date' only; remove numeric values; optionally append <document_distribution_date>,1
confidentiality_notification,Confidentiality notification,1,This document and the information in it are provided in confidence to KBR,"(confidentiality\ notification)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (confidentiality\ notification)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Confidentiality notification' only; remove numeric values; optionally append <confidentiality_notification>,1
glossary_term_bpd,Glossary term - bpd,1,bpd barrels per day,"(glossary\ term\ \-\ bpd)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (glossary\ term\ \-\ bpd)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Glossary term - bpd' only; remove numeric values; optionally append <glossary_term_bpd>,1
glossary_term_ha,Glossary term - ha,1,ha Hectare,"(glossary\ term\ \-\ ha)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (glossary\ term\ \-\ ha)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Glossary term - ha' only; remove numeric values; optionally append <glossary_term_ha>,1
iwtp,IWTP,2,IWTP stands for Industrial Wastewater Treatment Plant,"(iwtp)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (iwtp)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'IWTP' only; remove numeric values; optionally append <iwtp>,1
jica,JICA,2,JICA stands for Japan International Cooperation Agency,"(jica)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (jica)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'JICA' only; remove numeric values; optionally append <jica>,1
jis,JIS,2,JIS stands for Japanese Industrial Standards,"(jis)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (jis)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'JIS' only; remove numeric values; optionally append <jis>,1
jec,JEC,2,JEC stands for Japanese Electro-technical Committee Standard,"(jec)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (jec)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'JEC' only; remove numeric values; optionally append <jec>,1
